BDL361,PALAPA X BDL,105.247,-5.41293
BDL362,SUKABUMI INDAH BDL,105.294,-5.402
BDL363,RIDWAN RAIS 3,105.281,-5.41783
BDL364,RATU DIBALAU II,105.28,-5.36
BDL365,CENDANA BASRI II,105.273,-5.36131
BDL368,LABUHAN RATU III,105.251,-5.3761
BDL370,KEDAMAIAN 2,105.286,-5.4086
BDL371,PASIR GINTUNG II,105.268,-5.39708
BDL378,TALANG 2,105.253,-5.45271
BDL379,TANJUNGJATI 3,105.253,-5.453
BDL382,PLAZA CHANDRA 2,105.263,-5.414
BDL383,PASAR TUGU 2,105.269,-5.4057
BDL384,KALIAWI 2,105.247,-5.41293
BDL387,GRIYA SEJAHTERA 3,105.241,-5.39153
BDL388,TEUKU CIK DITIRO 2,105.211,-5.3927
BDL389,TUPAI 2 BDL,105.251,-5.39
BDL390,RAJA RATU 2,105.265,-5.37333
BDL391,KIMAJA 4,105.268,-5.37654
BDL392,PERUMAHAN DOSEN UNILA,105.246,-5.3713
BDL393,GEDONG MENENG 2,105.238,-5.37484
BDL394,RATU DIBALAU III,105.279,-5.36149
BDL395,PERUM IMAM BONJOL,105.218,-5.395
BDL396,TEUKU CIK DITIRO 3,105.204,-5.394
BDL397,PERUM BTN III,105.281,-5.38637
BDL398,BUMI MANTI II,105.242,-5.37387
BDL399,GOLDEN COMUNICATION,105.261,-5.39884
BDL401,JATI MULYO II,105.29,-5.35124
BDL403,HAJIMENA 2,105.23,-5.36041
BDL404,ZAENALABIDIN BDL,105.233,-5.367
BDL405,MESJID VILLA CITRA,105.274,-5.40253
BDL406,POLE REKTORAT UNILA,105.243,-5.36395
BDL407,POLE FAK MIPAUNILAH,105.244,-5.36626
BDL408,JALAN PEMUDABDL,105.261,-5.41198
BDL413,Tanjung Gading MCP,105.269,-5.43977
BDL414,Basuki Rahmat MCP1,105.255,-5.4416
BDL416,Way Kandis MCP 2,105.287,-5.38571
BDL417,Way Kandis MCP 3,105.287,-5.38571
BDL418,Way Kandis,105.271,-5.37464
BDL419,C_BDL419MW1_TBG_WayKandisMCP5,105.278,-5.37417
BDL420,C_BDL420MW1_TBG_PecohRayaMCP1,105.27,-5.44729
BIN001,KAUR,103.35,-4.79181
BIN002,PADANG GUCI,103.183,-4.60528
BIN003,NASAL,103.505,-4.87327
BIN004,TANJUNG IMAN,103.299,-4.70356
BIN005,MAJE,103.429,-4.86097
BIN006,SULAU,103.096,-4.56292
BIN007,KELAM TENGAH,103.21,-4.56019
BIN008,PADANG GUCI ULU,103.234,-4.4965
BIN009,SEMIDANG GUMAI,103.251,-4.67214
BIN010,MUARA TETAP,103.32,-4.75317
BIN011,MERPAS,103.536,-4.91103
BIN012,TANJUNG BULAN KAUR,103.13,-4.57627
BIN013,LUAS KAUR,103.319,-4.65888
BIN014,MUARA SAUNG,103.359,-4.53424
BIN015,ULAK BANDUNG,103.388,-4.52494
BIN016,MUARA SAMBAT,103.398,-4.80531
BIN017,BERINGIN MAJE,103.465,-4.86001
BIN018,GUNUNG TIGA KAUR,103.266,-4.66604
BIN019,PEMDA KAUR,103.347,-4.76187
BIN020,KINAL,103.233,-4.64424
BIN022,SIMPANG TIGA KAUR,103.216,-4.51022
BIN023,TANJUNG BESAR KAUR,103.367,-4.79505
BIN024,PANTAI LINAU,103.412,-4.83193
BIN025,C_BIN025MB1_DMT_Kinal2,103.251,-4.55801
BKL001,STO BENGKULU CENTRUM,102.266,-3.79611
BKL002,STO PAGAR DEWA,102.322,-3.84375
BKL003,PADANG HARAPAN,102.293,-3.82708
BKL004,SUPRATMAN,102.275,-3.76053
BKL006,PASAR BARU,102.253,-3.79546
BKL007,BANDARA BENGKULU,102.343,-3.8585
BKL008,LINGKAR TIMUR,102.298,-3.81261
BKL009,BENGKULU CENTRUM 2,102.283,-3.80811
BKL011,LINGKAR BARAT BENGKULU,102.315,-3.84728
BKL012,SURABAYA,102.326,-3.78461
BKL014,PULAU BAAI,102.319,-3.89236
BKL016,AIR SEBAKUL,102.345,-3.83017
BKL017,PINANG MAS,102.291,-3.77669
BKL018,SAWAH LEBAR,102.279,-3.79575
BKL019,TENGAH PADANG,102.261,-3.78757
BKL020,PENURUNAN,102.268,-3.80747
BKL021,BATANGHARI BENGKULU,102.278,-3.81733
BKL022,HIBRIDA UJUNG,102.321,-3.83631
BKL023,TIMUR INDAH,102.307,-3.81985
BKL024,KANDANG BENGKULU,102.313,-3.86961
BKL025,RAWA MAKMUR,102.275,-3.77736
BKL026,TEBENG,102.294,-3.806
BKL027,PERUMNAS POLDA,102.308,-3.832
BKL028,GRAPARI BENGKULU,102.292,-3.81608
BKL029,MASJID AGUNG BENGKULU,102.261,-3.80249
BKL031,SEKIP BENGKULU,102.276,-3.80517
BKL032,BENGKULU INDAH MALL,102.269,-3.81097
BKL033,MEGA MALL BENGKULU,102.267,-3.79405
BKL034,KEBUN TEBENG,102.285,-3.80022
BKL035,DANAU DENDAM,102.312,-3.79272
BKL036,PASAR MINGGU,102.269,-3.79407
BKL037,KEBUN KENANGA,102.27,-3.80239
BKL038,SAWAH LEBAR BARU,102.278,-3.79155
BKL040,PEMATANG GUBERNUR,102.293,-3.75691
BKL041,TUGU HIU,102.31,-3.76719
BKL042,TELUK SEPANG,102.287,-3.933
BKL043,TAMAN REMAJA (NATADIRJA),102.302,-3.82271
BKL046,PADANG DEDO,102.284,-3.81328
BKL047,KALIMANTAN BENGKULU,102.271,-3.76954
BKL048,SERAYU BENGKULU,102.283,-3.82253
BKL049,MUHAJIRIN,102.303,-3.80761
BKL050,KAMPUNG KELAWI,102.267,-3.77988
BKL051,SEMARAK BENGKULU,102.292,-3.76502
